skill,skill_aliases
manage payroll,administer payroll|handle payroll|managing payroll|oversee payroll
manage payroll reports,handle payroll reports|maintain payroll reports|manage payroll report|manage reports for payroll|managing payroll reports|oversee payroll reports
manage pension funds,manage retirement accounts|manage retirement funds|manage social security funds
manage performance light quality,control light quality|control light quality of performance|control lighting quality|control lighting quality of performances|control performance light quality|control performance lighting quality|manage light quality for performances|manage light quality of performance|manage performance lighting|manage performance lighting quality|manage performance lights
manage periodic calibration plans,coordinate periodic calibration plans|manage periodic calibration plan|managing periodic calibration plan|managing periodic calibration plans|monitor periodic calibration plans|oversee periodic calibration plans|supervise periodic calibration plans
manage personal finances,manage finances that are personal|manage personal financing|monitor personal finances|plan personal finances
manage personal professional development,conduct personal professional development|continuously develop own practice|continuously develop your own practices|develop own practice|develop own practice continuously|develop own practices continuously|identify priority areas for professional development|manage personal lifelong learning|research identify and resource your continuing professional development|research own continuing professional development|undertake responsibility on continuous professional development
manage personal professional development in sport,continue personal and professional development|manage personal and professional development in sports|manage professional personal development in sport|pursue knowledge regarding sports development
manage personal progression,manage career goals|manage life goals|plan your career
manage personnel agenda,handle personnel agenda|maintain personnel agenda|manage agenda of personnel|managing personnel agenda
manage pest and weed control,manage pests and weeds|managing pest and weed control|managing pests and weeds|pest and weed control managing|pests and weeds managing
manage pharmaceutical production facilities construction,managing pharmaceutical production facilities construction|pharmaceutical production facilities construction managing|pharmaceutical production facilities construction supervising|supervise pharmaceutical production facilities construction|supervising pharmaceutical production facilities construction
manage physical resources,direct physical resources|managing physical resources|oversee physical resources
manage physiotherapy staff,develop physiotherapy staff|manage physiotherapy personnel|manage physiotherapy-staff|manage staff of physiotherapy|recruit physiotherapy staff|supervise physiotherapy staff
manage plans for the storage of organic by-products,implement organic by-product storage plans|implement plans for the storage of organic by-products|implement storage plans for organic by-products|implementing plans for the storage of organic by-products|implementing storage plans for organic by-products|manage organic by-product storage plans|manage storage plans for organic by-products|managing plans for the storage of organic by-products|managing storage plans for organic by-products
manage plans for the utilisation of organic by-products,implement plans for the utilisation of organic by-products|implement utilisation plan for organic by-products|implement utilisation plans for organic by-products|implementing plans for the utilisation of organic by-products|implementing utilisation plan for organic by-products|implementing utilisation plans for organic by-products|manage plans for the utilization of organic by-products|manage utilisation plan for organic by-products|manage utilisation plans for organic by-products|managing plans for the utilisation of organic by-products|managing utilisation plan for organic by-products|managing utilisation plans for organic by-products
manage port operations,administer port operations|ensure effective and efficient operation of port|ensure effective provision of port services|implement port strategy|manage implementation of port strategy|manage the operation of ports|oversee port operations|supervise port operations
manage port operations improvement procedures,facilitate development of port operations through implementation of improvement procedures|manage improvement procedures in port operations|manage processes to improve port operations|oversee improvement procedures in port operations|oversee port operations improvement procedures|oversee processes to improve operations|supervise improvement procedures in port operations|supervise port operations improvement procedures|understand and implement improvement procedures for port operations
manage portfolio,manage portfolios|managing portfolio|monitor portfolio|oversee portfolio
manage process of flexographic print,direct process of flexographic print|manage processes of flexographic print|managing process of flexographic print|oversee process of flexographic print|run process of flexographic print|supervise process of flexographic print
manage processes,maintain processes|manage a process|managing a process|managing processes|oversee processes|regulate processes|supervise processes
manage procurement planning,managing procurement planning|monitor procurement planning|oversee procurement planning
manage product testing,manage product tests|manage testing of products|managing product testing|oversee product testing|supervise product testing
manage production changeovers,ensure execution of efficient production changeovers|ensure successful changeovers to meet production schedule|implement effective changeovers to meet production schedule|manage changeovers in production|oversee changeovers in production|oversee production changeovers|plan and implement production changeovers and related activities|supervise production changeovers
manage production enterprise,managing production enterprise|managing production enterprises|organise production|organising production|production enterprise managing|production enterprises managing|production organising
manage production fluid in oil production,control production fluid|controlling production fluid|deal with production fluid|dealing with production fluid|managing production fluid in oil production
manage production of destination promotional materials,coordinate production of tourism promotional material|manage the destination promotional materials' production|manage the production and distribution of destination brochures|manage the production of promotional destination materials
manage production of footwear or leather goods,manage footwear and leather goods production|manage footwear production|manage leather goods production|manage production of footwear|manage production of footwear and leatherwear|manage production of leather goods|plan footwear and leather goods production|plan footwear and leatherwear production|plan the production of footwear and leather goods|plan the production of footwear and leatherwear
manage production systems,direct production systems|manage production system|managing production systems|oversee production systems|run production systems|supervise production systems
manage professional transition in an arts career,decide about professional transition in an arts career|manage professional progression in an arts career|manage professional transition in career in arts|set professional segue in an arts career|transition in an arts career
manage profitability,maintain profitability|management of profitability|managing profitability|oversee profitability|profitability management|regulate profitability|supervise profitability
manage project changes,implement project changes|supervise project adjustments
manage project information,give accurate project information|provide accurate project information
manage project metrics,handle project metrics|manage metrics of project|managing project metrics|oversee project metrics
manage prompt book,handle prompt book|maintain prompt book|manage prompt books|managing prompt book
manage psychotherapeutic relationships,establish psychotherapeutic relationships|establish psychotherapy relationships|handle psychotherapeutic relationships|handle psychotherapy relationships|maintain psychotherapeutic relationships|maintain psychotherapy relationships|manage psychotherapy relationships
manage publicly traded companies,handle publicly traded companies|manage publicly traded company|managing publicly traded companies|oversee publicly traded companies
manage purchasing cycle,maintain purchasing cycle|manage purchasing cycles|managing a purchasing cycle|managing purchasing cycles|oversee purchasing cycle|regulate purchasing cycle|supervise purchasing cycle
manage quality,apply quality standards|attend to quality|managing quality|monitor quality|oversee quality|work to agreed standards
manage quality of leather throughout the production process,implement quality procedures in leather production process|implement quality systems for leather production process|manage leather quality in production process|manage quality in leather production process|manage quality systems
manage quantitative data,handle numerical data|interpret data|manage data quantitatively|managing quantitative data|organise data|present data
manage radiology information system,develop and maintain radiology information system|handle radiology information system|manage and distribute radiological images and data|manage radiology information systems|manage radiology-information system
manage rail yard resources,carry out rail yard resource management|conduct rail yard resource management activities|coordinate use of rail yard resources|coordinate use of railway yard resources|manage railroad yard resources|manage railway yard resources|manage resources of rail yard|manage resources of railroad yard|manage resources of railway yard|manage yard resources|perform railway yard resource management
manage railway construction projects,conduct railway development project management|execute railway development project management|manage rail construction projects|manage railway building projects|manage railway development projects|oversee rail construction projects|oversee railway building projects|oversee railway construction projects|oversee railway development projects|perform railway construction project management|project manage railway building initiatives|project manage railway construction initiatives
manage rainwater,drain rainwater|draining rainwater|managing rainwater|rainwater draining|rainwater managing
manage recirculation systems,managing recirculation systems|recirculation system managing|recirculation system tending|recirculation systems managing|recirculation systems tending|tend recirculation systems|tending recirculation systems
manage recirculation systems equipment,control recirculation systems|control recirculation systems equipment|controlling recirculation systems|controlling recirculation systems equipment|managing recirculation systems|managing recirculation systems equipment|recirculation systems controlling|recirculation systems equipment controlling|recirculation systems equipment managing|recirculation systems managing
manage recreational facility,maintain recreational facility|manage a recreational facility|manage recreational facilities|managing a recreational facility|oversee recreational facility|regulate recreational facility|supervise recreational facility
manage recycling program budget,maintain recycling program budget|manage a recycling program budget|manage recycling program budgets|managing a recycling program budget|oversee recycling program budget|regulate recycling program budget|supervise recycling program budget
manage relationships with artists,maintain relationships with artists|manage a relationships with an artist|manage relationship with artists|managing relationships with artists|oversee relationships with artists|regulate relationships with artists|supervise relationships with artists
manage relationships with stakeholders,enhance stakeholder relationships|establish relationships with stakeholders|maintain relationships with stakeholders|manage relationships with external stakeholders|manage relationships with internal stakeholders
manage removal of disabled aircraft,conduct disabled aircraft removal operations|control and coordinate removal of disabled aircraft|coordinate and control removal of disabled aircraft|execute disabled aircraft removal operations|manage disabled aircraft removal|oversee disabled aircraft removal|oversee removal of disabled aircraft|perform disabled aircraft removal management|supervise disabled aircraft removal|supervise removal of disabled aircraft
manage rented goods returns,deal with rented goods returns|manage rental goods returns|manage rented goods return|managing rented goods returns|organise rented goods returns|oversee rented goods returns|supervise rented goods returns
manage research and development projects,direct research and development projects|manage development and research projects|manage research and development project|managing research and development projects|oversee research and development projects|supervise research and development projects
manage research data,administer research data|handle research data|oversee scientific data
manage resources,coordinate resources|management of resources|resources management
manage resources for educational purposes,coordinate resources for educational purposes|manage resources for educational purpose|manages resources for educational purposes|managing resources for educational purposes|oversee resources for educational purposes|supervise resources for educational purposes
manage resources in food manufacturing,maintain resources in food manufacturing|manage resources in food manufacture|manage resources in the food manufacturing|manage resources in the manufacturing of food|oversee resources in food manufacturing|regulate resources in food manufacturing|supervise resources in food manufacturing
manage restaurant service,coordinate the running of a restaurant|manage service in a restaurant|manage services at a restaurant|organise restaurant service
manage revenue,maintain revenue|manage revenues|management of revenue|managing revenue|oversee revenue|regulate revenue|supervise revenue
manage risk of lighting failure,conduct lighting failure risk management|control lighting failure risk|control risk of lighting failure|control risks of lighting failure|identify and resolve lighting issues|manage lighting failure risk|manage lighting systems to reduce the risk of lighting failure|manage the risks of lighting failures|mitigate the risks of lighting failure|perform lighting failure risk management
manage rivers and streams,managing rivers and streams|protect rivers and streams|protecting rivers and streams|restore stream|river and stream managing|river and stream protecting|rivers and streams managing|rivers and streams protecting
manage routine waste,handle routine waste|managing routine waste|take care of routine waste
manage rubber products development,decide on how to convert raw rubber|define methods to produce rubber products|design rubber process specifications|establish methods to produce rubber products
manage safety standards for inland water transport,ensure compliance with inland water safety regulations and standards|ensure compliance with inland water safety standards and regulations|ensure inland water safety regulations and standards are followed|ensure inland water safety regulations and standards are met|maintain safety standards for inland water transport|manage safety standards for inland water transportation|manage standards of safety for inland water transport|oversee safety standards for inland water transport|supervise safety standards for inland water transport
manage safety standards for maritime water transport,ensure compliance with maritime safety regulations and standards|ensure compliance with maritime safety standards and regulations|ensure maritime safety regulations and standards are followed|ensure maritime safety regulations and standards are met|maintain safety standards for maritime water transport|manage safety standards for maritime water transportation|manage standards of safety for maritime water transport|oversee safety standards for maritime water transport|supervise safety standards for maritime water transport
manage sales channels,manage marketing channels|manage sales instruments|manage trade channels
manage sales teams,direct sales teams|manage sales team|managing sales teams|oversee sales teams|supervise sales teams
manage scale-up experiments for manufacturing of products,maintain scale-up experiments for manufacturing of products|manage a scale-up experiment for manufacturing of products|oversee scale-up experiments for manufacturing of products|regulate scale-up experiments for manufacturing of products|supervise scale-up experiments for manufacturing of products
manage schedule of tasks,assign and schedule tasks|manage task scheduling|manage tasking|organise tasks|organize tasks|plan tasks|schedule tasks|task management|task planning|task scheduling
manage school budget,coordinate school budget|manage school budgeting|manages school budget|managing school budget|oversee school budget|supervise school budget
manage second level engines,ensure operation of auxiliary engines|ensure operation of second level engines|maintain auxiliary engines|maintain secondary engines|manage secondary engines|operate second level engines|operate secondary engines|oversee second level engines|oversee secondary engines
manage secondary school department,coordinate secondary school department|manage high school department|manage secondary school departments|manages secondary school department|managing secondary school department|oversee secondary school department|supervise secondary school department
manage securities,handle securities|maintain securities|manage security|managing securities|oversee securities
manage securities trading,administer securities trading|conduct securities trading|handle securities trading|manage securities sale and purchase|oversee securities trading|perform management of securities trading
manage security clearance,administer security clearance|administer security monitoring systems|conduct security clearance|conduct security monitoring systems|oversee security clearance|oversee security monitoring systems|supervise security clearance|supervise security monitoring systems
manage security equipment,coordinate inventory of security equipment|handle security tools and equipment|manage equipment for security
manage service contracts in the drilling industry,drilling industry service contract management|drilling industry service contract negotiation|management of service contracts in the drilling industry|managing of service contracts in the drilling industry|managing service contracts in the drilling industry|service contract management in the drilling industry|service contract negotiation in the drilling industry|set up service contracts in the drilling industry|setting up of service contracts in the drilling industry|setting up service contracts in the drilling industry
manage several projects,handle several projects|maintain several projects|managing several projects|oversee several projects
manage ship electrical systems,administer ship electrical systems|maintain electrical systems in ships|manage electrical systems of ships|manage vessel electrical systems|operate and maintain electrical components in ships|operate and maintain electrical systems in ships|operate and maintain ship electrical systems|oversee ship electrical systems|oversee vessel electrical systems|perform activities to ensure ship electrical systems
manage ship emergency plans,implement ship emergency plans|implementing ship emergency plans|managing ship emergency plans|ship emergency plan implementing|ship emergency plan managing|ship emergency plans implementing|ship emergency plans managing
manage shipment risks,conduct shipment risk management|deal with risks of shipments|deal with shipment risks|ensure dangerous shipments are handled appropriately|ensure safety of shipping operations involving dangerous cargo|handle risks of shipments|handle shipment risks|implement dangerous cargo operations in an appropriate manner|manage risks of shipments|perform shipment risk management
manage signoff of an installed system,handle signoff of an installed system|manage installed system signoff|manage signing off of an installed system|managing signoff of an installed system|take care of signoff of an installed system
manage social crisis,handle social crisis|help individuals coping with social crisis|support individuals facing a social crisis|support management of social crisis
manage software localisation,manage software transference process|organise software transference process|oversee software localisation
manage software releases,analyse and approve software development releases|approve software release process
manage sound quality,maintain sound quality|manage the quality of sound quality|managing sound quality|oversee sound quality|regulate sound quality|sound quality management|supervise sound quality
manage space utilisation,manage utilisation of space|managing space utilisation|oversee space utilisation|supervise space utilisation
manage spat collection equipment,assemble equipment for spat collection|assemble spat collection equipment|assembling equipment for spat collection|assembling spat collection equipment|managing equipment for spat collection|managing spat collection equipment|spat collection equipment assembling|spat collection equipment managing
manage sport competition programmes,coordinate sport programmes that meet the needs of all parties involved|develop competitive programmes|manage competitive sport programmes|manage programmes in sport competitions|manage sport competition programs
manage sport facility finances,handle sport facility finances|maintain sport facility finances|manage sport facility finance|managing sport facility finances|oversee sport facility finances
manage sporting career,decide on a sporting career|manage a sport career|manage career in sports|plan a sporting career
manage sports events,manage events of sports|manage sporting events|organise sport events|plan sport activities
manage stable,manage stables|managing stable|managing stables|mange stable|oversee stable|oversee stables|overseeing stable|overseeing stables|stable managing|stable overseeing|stables managing|stables overseeing
manage staff,conduct hr activities|coordinate and monitor employees|coordinate and monitor staff|coordinate and monitor subordinates|implement hr actions|manage employees|manage personnel|manage subordinates|manage team|perform hr|supervise employees|supervise personnel|undertake hr processes
manage stage effects,handle stage effects|manage stage fix|managing stage effects|produce stage effects
manage standard enterprise resource planning system,maintain standard enterprise resource planning system|manage standard enterprise resource planning systems|managing standard enterprise resource planning system|oversee standard enterprise resource planning system|regulate standard enterprise resource planning system|standard enterprise resource planning system management|supervise standard enterprise resource planning system
manage standards for data exchange,set standards for data transformation
manage stock rotation,carry out stock takes|ensure effective and efficient stock rotation|ensure efficient and effective stock rotation|manage rotated stock|manage rotation of stock
manage stocked company material,maintain stocked company material|manage stocked company materials|managing stocked company material|oversee stocked company material|regulate stocked company material|stocked company material management|supervise stocked company material
manage storage operations,coordinate storage activities|manage operations for storage|manage store operations|select and coordinate storage area activates
manage storage tanks,manage sumps and storage tanks|management of storage tanks|managing of storage tanks|managing storage tanks|managing sumps and storage tanks|oversee storage tank operations|oversee storage tanks|overseeing of storage tanks|overseeing storage tank operations|overseeing storage tanks|storage tank management|storage tanks management
manage stress in the work place,cope with pressure in the work place|cope with stress in organisation|deal with stress in an organization|handle stress in organizations|handle stressful situations in an organisation|manage stress in an organisation|manage stress in organisations|manage stress in organization
manage student admissions,coordinate student admissions|manage student admission|manages student admissions|managing student admissions|oversee student admissions|supervise student admissions
manage student relationships,coordinate student relationships|manage student relationship|manages student relationships|managing student relationships|oversee student relationships|supervise student relationships
manage studio resourcing,direct studio resourcing|manage studio resourcing's|managing studio resourcing|oversee studio resourcing|run studio resourcing|supervise studio resourcing
manage sub-contract labour,coordinate sub-contract labour|manage sub-contract labor|manage sub-contract labourers|managing sub-contract labour|managing sub-contract labourers|monitor sub-contract labour|oversee sub-contract labour|supervise sub-contract labour
manage sumps,management of sumps|managing of sumps|managing sumps|oversee sump operation|oversee sumps|overseeing sump operations|overseeing sumps|sump management|sump managing|supervise sump operations|supervise sumps|supervising sumps
manage supplies,control and monitor supplies|manage supply chain|monitor and control supplies|plan supplies|supplies management|supplies managing|supplies planning
manage system security,manage information security
manage system testing,oversee testing of hardware|oversee testing of software
manage tanning operations,design tanning operations|oversee tanning operations|plan tanning operations
manage teamwork,create a plan of teamwork|develop teamwork schedule|manage teamwork practices|manage the work of teams and individuals|organise work practices|plan teamwork|plan the work of teams and individuals|plan work as a team|plan working in a team|teams and individuals work managing|teams and individuals work planning|work managing|work managing of teams and individuals|work planning of teams and individuals
manage technical aspects of vineyard production,control technical aspects of vineyard production|control technical aspects of vineyard production process|controlling technical aspects of vineyard production|controlling technical aspects of vineyard production process|manage technical aspects of vineyard production process|managing technical aspects of vineyard production|managing technical aspects of vineyard production process|technical aspects of vineyard production controlling|technical aspects of vineyard production managing|technical aspects of vineyard production process controlling|technical aspects of vineyard production process managing
manage technical resources stock,keep stock of technical resources|manage resources of technical stock|manage stock of technical resources|monitor stock of technical resources
manage technical security systems,be in charge of technical security systems|manage security systems|manage technical security system|managing technical security systems|oversee technical security systems
manage temporary ict networks for live performance,coordinate live performance technology|manage dmx for performing art|manage midi for performing art|manage rdm for performing art|manage timecode control signals for performing art
manage tender processes,maintain tender processes|manage a tender process|managing tender processes|oversee tender processes|regulate tender processes|supervise tender processes|tender process management
manage test drives,maintain kiln test drives|manage a test drives|managing a test drive|managing test drives|oversee test drives|regulate test drives|supervise test drives
manage tests,manage examinations|manage exams|manage test|managing tests|oversee examinations|oversee exams|oversee tests|supervise examinations|supervise exams|supervise tests
manage the customer experience,contribute to a customer experience|customer experience management|manage customer experience|manage customers' experience
manage the fleet according to planned operations,administer the fleet according to planned operations|anticipate fleet activity according to operational requirements|anticipate fleet activity according to planned operations|assign fleet resources to operations|assign fleet resources to planned operations|conduct operational fleet management activities|manage the fleet according to operational requirements|oversee fleet activities according to planned operations|perform operational fleet management activities|supervise fleet activities according to planned operations
manage the general ledger,maintain the general ledger|manage general ledgers|managing the general ledger|oversee the general ledger
manage the handling of promotional materials,manage promotional materials handling|manage the handling of promotional material|managing the handling of promotional materials|oversee the handling of promotional materials|supervise the handling of promotional materials
manage the health and welfare of livestock,health and welfare of livestock managing|health and welfare of livestock planning|manage the health of livestock|manage the welfare of livestock|managing the health and welfare of livestock|managing the health of livestock|managing the welfare of livestock|plan the health and welfare of livestock|plan the health of livestock|plan the welfare of livestock|planning the health and welfare of livestock|planning the health of livestock|planning the welfare of livestock
manage the lightering operation,lightering operation managing|lightering operation supervising|managing the lightering operation|supervise the lightering operation|supervising the lightering operation
manage the neuropsychiatric sequelae of stroke,manage the neuropsychiatric sequela of a stroke|manage the neuropsychiatric sequelae of a stroke|manage the neurpsychiatric sequelae of strokes|monitor neuropsychiatric sequelae of a stroke|tend to the neuropsychiatric sequelae of a stroke
manage the operation of propulsion plant machinery,manage propulsion plant machinery operation|managing propulsion plant machinery operation|managing the operation of propulsion plant machinery|supervise propulsion plant machinery operation|supervise the operation of propulsion plant machinery|supervising propulsion plant machinery operation|supervising the operation of propulsion plant machinery
manage the reception of raw materials for animal feeds,carry out unloading of raw materials|conduct unloading of raw materials|maintain the reception of raw materials for animal feeds|manage the reception of raw materials for animal feed|managing the reception of raw material for animal feeds|oversee the reception of raw materials for animal feeds|perform raw material unloading activities|perform unloading of raw materials|receive and unload raw material for animal feed|regulate the reception of raw materials for animal feeds|supervise the reception of raw materials for animal feeds|undertake unloading of raw materials|unload animal feed raw material|unload raw material for animal feed
manage the security team,direct the security team|manage the team for security|managing the security team|oversee the security team|supervise the security team
manage the store image,maintain the store image|manage the image of a store|manage the stores image|managing the stores image|oversee the store image|regulate the store image|supervise the store image
manage the transportation of animals,carry out animal transportation management|manage animal transport|manage animal transportation|oversee animal transport|oversee animal transportation|oversee the transportation of animals|perform animal transport management|supervise animal transport|supervise animal transportation|supervise the transport of animals|supervise the transportation of animals
manage the use of additives in food manufacturing,maintain the use of additives in food manufacturing|manage the use of additives in food manufacture|manage the use of additives in the manufacture of food|oversee the use of additives in food manufacturing|regulate the use of additives in food manufacturing|supervise the use of additives in food manufacturing
manage the use of vaccines,administer the use of vaccines|handle the use of vaccines|manage the use of a vaccine|manage the use of immune stimulants and suppressors|manage use of vaccines|prescribe and administer vaccines
manage theft prevention,maintain theft prevention|manage thieving prevention|managing theft prevention|oversee theft prevention|regulate theft prevention|supervise theft prevention|theft prevention management
manage third-party logistics providers,maintain third-party logistics providers|manage a third-party logistics provider|managing third-party logistics providers|oversee third-party logistics providers|regulate third-party logistics providers|supervise third-party logistics providers|third-party logistics provider management
manage timber orders,assemble orders of timber|assemble timber orders|assembling orders of timber|assembling timber orders|manage lumber orders|manage orders of timber|managing orders of timber|managing timber orders|timber orders assembling|timber orders managing
manage timber stocks,control stocks of timber|control timber stocks|controlling stocks of timber|controlling timber stocks|manage lumber stocks|manage stocks of timber|managing stocks of timber|managing timber stocks|stocks of timber controlling|stocks of timber managing|timber stock controlling|timber stock managing|timber stocks controlling|timber stocks managing
manage time,adhere to schedules|coordinate actions|define milestones|draw up time line|manage schedule|managing time|plan deadlines|plan time|prioritise actions|prioritise tasks|schedule|set priorities|work out time line
manage time in agricultural production,agricultural production scheduling|agricultural production time managing|managing time in agricultural production|production time managing in agriculture|schedule agricultural production|scheduling agricultural production|scheduling in agricultural production|scheduling production in agriculture|time managing in agricultural production
manage time in casting processes,casting processes time management|keep to timings in casting processes|keeping to timings in casting processes|maintain timings in casting processes|management of time in casting processes|managing of time in casting processes|managing time in casting processes|time management in casting processes
manage time in fishery operations,fishery operation time managing|fishery operation work scheduling|fishery operations time managing|fishery operations work scheduling|managing time in fishery operations|schedule work in fishery operations|scheduling work in fishery operations|time managing in fishery operations|work scheduling in fishery operations
manage time in food processing operations,maintain time in food processing operations|manage time in a food processing operation|manage time in food processing operation|oversee time in food processing operations|regulate time in food processing operations|supervise time in food processing operations
manage time in forestry,forestry operation time managing|forestry operation work scheduling|forestry time managing|forestry work scheduling|managing time in forestry|schedule work in forestry|scheduling work in forestry|time managing in forestry|work scheduling in forestry
manage time in furnace operations,furnace operations time management|furnace schedule maintenance|maintain furnace schedule|maintaining furnace schedule|maintenance of furnace schedule|management of time in furnace operations|managing of time in furnace operations|managing time in furnace operations|time management in furnace operations
manage time in landscaping,landscaping scheduling|landscaping time managing|schedule landscaping|scheduling landscaping|time managing in landscaping
manage time in tourism,develop time management skills|manage tourism time|managing time in tourism|plan timings in travel itineraries
manage tourist groups,guide groups of tourists|lead leisure group tours|manage groups of tourists|manage tourists in groups
manage train working timetable,carry out train working timetable management activities|ensure train operates according to working timetable|ensure train operates in accordance with working timetable|ensure train operations run according to working timetable|manage train working timetables|manage working timetable of train|oversee train working timetable|oversee working timetable of train|perform train working timetable management activities|supervise train working timetable|supervise working timetable of train
manage transport of goods from warehouse facilities,deal with goods transported from warehouses|define warehouse transportation networks for goods|handle commodities transported from warehouse facilities|manage materials transported from warehouse facilities|manage warehouse commodities|manage warehouse goods|transport goods from warehouse facilities|transport products from warehouse facilities
manage trauma through surgical means,manage trauma by surgical means|manage trauma through surgical procedures|surgically treat injuries on trauma patients
manage treatment for hiv affected patients,develop treatment for hiv affected patients|develop treatments for hiv affected patients|manage treatment for aids patients|manage treatment for hiv-affected patients|manage treatment for patients affected by hiv|treat aids patients|treat hiv and aids patients|treat hiv patients
manage troop deployment,administer troop deployment|administer troop disposition|maintain troop deployment|maintain troop disposition|monitor military troops|oversee troop deployment|oversee troop disposition|supervise troop deployment|supervise troop disposition
manage truck drivers,carry out management activities for truck drivers|conduct operational performance management for truck drivers|ensure operational performance of truck drivers|manage drivers|manage drivers of trucks|oversee truck drivers|perform truck driver management|perform truck driver performance management|supervise drivers of trucks|supervise truck drivers
manage university department,coordinate university department|manages university department|managing university department|oversee university department|supervise university department
manage vault access,manage safe access|manage vault admittance|manage vault entrance|manage vault entry
manage vehicle cleaning plan,conduct vehicle cleaning management activities|develop and implement vehicle cleaning plan|ensure cleaning of vehicles according to set standards|ensure regular cleaning of vehicles according to defined standards|manage cleaning plan for vehicles|manage vehicle cleaning|oversee cleaning plan for vehicles|oversee vehicle cleaning plan|perform vehicle cleaning management activities|supervise cleaning plan for vehicles|supervise vehicle cleaning plan
manage vehicle inventory,carry out vehicle fleet management activities|conduct vehicle fleet management|conduct vehicle fleet management activities|maintain vehicle inventory|manage company vehicle fleet|manage fleet of vehicles|manage the vehicle fleet|manage vehicle fleet|oversee fleet of vehicles|oversee vehicle fleet|oversee vehicle inventory|perform vehicle fleet management|perform vehicle fleet management activities|regulate vehicle inventory|supervise vehicle inventory|undertake vehicle fleet management activities|vehicle inventory management
manage vehicle services' financial resources,maintain vehicle services' financial resources|manage vehicle services' financial resource|management of vehicle services' financial resources|managing vehicle services' financial resources|oversee vehicle services' financial resources|regulate vehicle services' financial resources|supervise vehicle services' financial resources
manage venue programme,handle venue programme|maintain venue programme|manage venue program|manage venue programmes|manage venue's programme|managing venue programme|oversee venue programme
manage vessel cargo activities,manage ship cargo activities|manage the loading and unloading of cargo from vessels|manage the loading and unloading of ships|manage the loading and unloading of vessels|oversee loading and unloading of ship cargo|oversee ship cargo activities|oversee vessel cargo activities|supervise ship cargo activities|supervise ship cargo loading and unloading|supervise vessel cargo activities|supervise vessel cargo loading and unloading
manage vessel control systems,ensure effective operation of ship control systems|ensure effective operation of vessel control systems|manage control systems of ships|manage control systems of vessels|manage ship control systems|oversee ship control systems|oversee vessel control systems|perform ship control system management activities|perform vessel control system management activities
manage vessel deck operations,coordinate deck activities|manage activities of the deck department|on deck operations|operations of the deck department|ship deck operations|ship's deck activities|supervise deck operations|tasks of the deck department|vessel deck operations
manage vessel engines and systems,manage ship engine equipment|manage ship engine systems|manage ship engines|manage ship systems|manage ship systems equipment|manage systems and engines in vessels|manage vessel engines|oversee ship engines and systems|oversee vessel engines and systems|supervise systems in vessels|supervise vessel engines and systems|supervise vessel systems
manage vessel fleet,conduct fleet management activities|ensure effective management of a fleet of vessels|manage fleet of ships|manage fleet of vessels|manage ship fleet|oversee fleet of ships|oversee fleet of vessels|oversee vessel fleet|perform activities to manage a fleet of vessels|perform fleet management activities|undertake fleet management activities
manage veterinary practice waiting area,control veterinary practice waiting area|control veterinary practice waiting areas|manage veterinary practice waiting room|manage veterinary practice waiting rooms|oversee veterinary practice waiting area|oversee veterinary practice waiting areas
manage visitor flows in natural protected areas,control visitor flows n natural reserves|monitor visitor flows in wildlife areas|oversee visitor flows in nature reserves
manage visual communications,handle visual communications|manage visual communication|managing visual communications|oversee visual communications
manage volunteering programmes,coordinate volunteering activities|manage volunteering projects|oversee volunteering programmes|supervise volunteering initiatives
manage volunteers,coordinate volunteers|maintain volunteers in second-hand shop|manage group of volunteers|manage the volunteers|manage volunteers in second-hand shop|manage volunteers in second-hand shops|managing volunteers|oversee volunteers in second-hand shop|regulate volunteers in second-hand shop|supervise volunteers in second-hand shop
manage warehouse inventory,control storage and movement of warehouse goods|control warehouse inventory|manage inventory of warehouse|manage storage and movement of warehouse goods|monitor warehouse inventory|monitor warehouse transactions|oversee inventory of warehouse|oversee storage and movement of warehouse goods|oversee warehouse inventory|supervise inventory of warehouse|supervise warehouse inventory
manage warehouse operations,carry out warehouse management activities|conduct warehouse management activities|ensure effective operation of warehouse|execute warehouse management activities|implement warehouse management|manage operations of warehouse|oversee operations of warehouse|oversee warehouse operations|perform warehouse management activities|supervise operations of warehouse|supervise warehouse operations
manage warehouse organisation,administer warehouse organisation|control warehouse organisation|ensure warehouse is organised efficiently and safely|ensure warehouse is organised in a safe and efficient manner|ensure warehouse is organised in an efficient and safe manner|manage organisation of warehouse|manage warehouse organization|organize warehouse efficiently and safely|oversee warehouse organisation|supervise organisation of warehouse|supervise warehouse organisation
