skill,skill_aliases
holography,3d imaging|holographic imaging|holographic technique|holographic technology
home decoration techniques,home decorating technique|home decorating techniques|home decoration approaches|home decoration methods|home decoration performance|home decoration skills|home decoration technique
homeopathy,alternative medicine using dilution of active ingredients|homoeopathy
homeopathy remedies,homeopathic medicine|homeopathic remedies|homeopathic remedy|homeopathy remedy|homoeopathic medicine|homoeopathic remedies|homoeopathic remedy|homoeopathy remedy
honey constituents,constituent of honey|constituents of honey|honey composition|honey constituent|honey ingredients|honey make up|ingredients of honey
honey extractors types,a honey extractors type|honey extractors brands|honey extractors categories|honey extractors type|honey extractors varieties|types of honey extractors|varieties of honey extractors
honey varieties,honey brands|honey categories|honey types|honey variety|types of honey|varieties of honey
hop cultivation,cultivation of hops|growing of hops|methods of hop cultivation|methods of hop growing|techniques of hop cultivation|techniques of hop growing|types of hop cultivation|types of hop growing|typology of hop cultivation|typology of hop growing
horary astrology,astrology of horary|horoscopic astrology
horse anatomy,basics of equine anatomy|basics of horse anatomy|biology of equine anatomy|biology of horse anatomy|principles of equine anatomy|principles of horse anatomy
horse racing regulation,horse race regulation|horse racing managing|horse racing monitoring|horse racing policing|horse racing regulations|regulations for horse racing
horse riding,equestrianism|horseback riding|riding horses
horse riding equipment,horse riding gear|horse riding paraphernalia|horse riding saddle|horse-riding equipment
horticultural design,horticultural knowledge|horticulture design|plant cultivation
horticulture principles,application of horticulture practices|application of horticulture principles|implementation of horticulture practices|implementation of horticulture principles|practices of horticulture|principles of horticulture|range of horticulture practices|range of horticulture principles|scope of horticulture practices|scope of horticulture principles
hoshin kanri strategic planning,hoshin kanri|visual strategy planning
hospitalised animal nursing care,factors and decision making for hospitalized animals' nursing care|knowledge of nursing care for hospitalised animals|knowledge of nursing care for hospitalized animals|nursing care for hospitalised animals|nursing care for hospitalized animals
hot forging,heated casting process|heated fabricating process|heated fashioning process|heated finishing process|hot casting|hot fabrication|hot fashioning|hot finishing techniques
hot vulcanisation,method of tyre repair|technique of tyre repair|tyre repair method|tyre repair technique|tyre vulcanisation|tyre vulcanization|vulcanisation|vulcanization
hot wheel detection system,hot wheel detection systems|rail wheel temperature alarm|rail wheel temperature sensor|rail wheel temperature sensors
hot winding,hot braiding|hot circuits|hot coiling process braiding|hot coiling process circuits|hot coiling process looping|hot coiling process twisting|hot looping|hot twisting
hotel operations,hotel administration|hotel management|operating a hotel|operations of hotel
household products,a household product|household brands|household commodities|household goods|household merchandise|household product|household stock
html,html5
hugging face,hf|huggingface
human anatomy,anatomy of the human body|human anthropotomy|human body anatomy|human gross anatomy|human microscopic anatomy|human morphology
human ear,anatomy of the auditory and vestibular system|anatomy of the auditory and vestibular systems|auditory anatomy|ear anatomy|human ears
human factors regarding safety,human factors regarding health and safety|human health and safety considerations|human health and safety implications|human safety considerations|human safety factors|human safety implications
human physiology,science of human physiology|study of human physiology|study of the functions of human organs and cells
human psychological development,psychological aspects of human development|psychological human development|theories of personality development|theory of personality development
human resource management,hr|hr management|hrm|human resource administration|human resource control|human resource supervision|human resources management
human resources department processes,hr department processes|human resources department methods|human resources department procedures|human resources department process|human resources department's processes|human resources processes
human-computer interaction,hci
human-robot collaboration,human-robot collaborative process
humanitarian aid,humanitarian assistance|humanitarian material aid|humanitarian material assistance|humanitarian material support|humanitarian support
humanitarian aid actors,disaster relief actors|disaster relief workers|humanitarian aid representatives|humanitarian aid workers|humanitarian help actors|humanitarian relief actors
hungarian,ability to comprehend spoken and written hungarian and to speak and write in hungarian|competent in hungarian
hunting truck detector,detector of hunting railway trucks|detector of hunting trucks|hunting railway truck detector|hunting-truck detector|rail carriage hunting monitor|rail vehicle hunting monitor|rail wagon hunting monitor
hybrid control systems,kinds of hybrid control systems|types of hybrid control systems|typology of hybrid control systems
hybrid model,hybrid model fundamentals|hybrid model principles|knowledge of hybrid model|theory of hybrid model
hybrid vehicle architecture,autosar hybrid vehicle architecture|hybrid buses|hybrid classification|hybrid vehicle|hydrogen vehicle|plug-in hybrid
hydraulic fluid,hydraulic liquids|hydraulic mineral oils|hydraulic oils|hydraulic streams|pneumatic liquids|pneumatic mineral oils|pneumatic oils|pneumatic streams
hydraulic fracturing,fracking|hydraulic fracking
hydraulic press parts,hydraulic press components|hydraulic press sections|hydraulic press segments|hydraulic press units|pneumatic casting components|pneumatic casting sections|pneumatic casting segments|pneumatic casting units
hydraulics,characteristics of hydraulic transmissions|characteristics of hydraulics|field of hydraulic transmissions|field of hydraulics|fundamentals of hydraulic transmissions|fundamentals of hydraulics|hydromechanics|principles of hydraulic transmissions|principles of hydraulics|science of hydraulic transmissions|science of hydraulics
hydrocarbon cracking techniques,cracking techniques for hydrocarbon|cracking techniques for hydrocarbons|fluid catalytic cracking|hydrocarbon cracking technique|hydrocracking|methods to crack hydrocarbon|processes to crack hydrocarbon|technique for hydrocarbon cracking|techniques for hydrocarbon cracking|visbreaking
hydrocarbon isomerisation processes,higher octane molecule creation process|higher octane molecule creation processes|hydrocarbon isomerisation process|process of higher octane molecule creation|process of hydrocarbon isomerisation|processes of higher octane molecule creation|processes of hydrocarbon isomerisation
hydroelectricity,hydro-electricity|hydro-power electricity|hydroelectric power|hydroelectrical power|hydropower|hydropower electricity|water power electricity
hydrography,the study of water bodies
hydrology,hydrology studies
hydroponics,hydroponics horticulture|hydroponics hydroculture|soilless cultivation
hydrotherapy,hydrotherapies|use of water for pain relief|use of water for treatment
ibm informix,informix advanced enterprise edition|informix advanced workgroup edition|informix dynamic server|informix enterprise edition|informix express edition|informix extended parallel server|informix workgroup edition
ibm infosphere datastage,cognos data manager|ibm infosphere datastage workgroup edition|infosphere datastage mvs edition
ibm infosphere information server,ibm infosphere information server platform
ibm websphere,websphere application server
ice cream manufacturing regulations,ice cream manufacturing governance|ice cream manufacturing legislation|ice cream manufacturing regulation|ice cream manufacturing rules|ice cream manufacturing statutes|manufacturing regulations for ice cream
ice-skating,figure skating|ice skating|skating on ice|speed skating
icelandic,ability to comprehend spoken and written icelandic and to speak and write in icelandic|competent in icelandic
iconography,iconography methods
ict accessibility standards,accessibility standards and guidelines|assistive technology standards|digital accessibility standards
ict architectural frameworks,ict architectural framework|ict architectural requirements|ict architectural structure
ict capacity planning strategies,ict capacity management
ict communications protocols,ict communications protocols in automotive|it communications protocols
ict debugging tools,ict testing tools|software debugging tools
ict encryption,asymmetric cryptography|public-key cryptography|secure sockets layer|ssl|symmetric-key algorithm|tls|transport layer security
ict environmental policies,ict environmental guidelines
ict hardware specifications,an ict hardware specification|ict hardware characteristics|ict hardware needs|ict hardware requirements|ict hardware specification|ict hardware stipulations|specifications for ict hardware
ict help platforms,ict help desk platforms|ict help desks
ict infrastructure,ict architecture and infrastructure|ict infrastructure and operations|it architecture and infrastructure|it infrastructure and operations
ict market,ict market trends
ict network cable limitations,ict network line limitations|ict network wire limitations
ict network routing,ict network processes|ict network routing processes|ict network routing techniques|ict network techniques
ict network security risks,ict network security threats|information systems security risks
ict network simulation,ict network simulation methods|ict network simulation systems|ict network simulation tools
ict networking hardware,computer networking devices|ict networking devices
ict performance analysis methods,performance analysis techniques
ict power consumption,ict energy consumption|ict power usage
ict problem management techniques,ict problem management methods|ict problem management procedure|ict problem management procedures|ict problem management processes|ict problem management strategies|types of ict problem management techniques
ict process quality models,cmm|cmmi (capability maturity model integrated)|quality maturity models|software process quality
ict project management,management of it related projects
ict project management methodologies,benefits realization management|code and fix development|critical chain project management|extreme project management|prince2|project management framework|project management software|software development methodologies|structured methodology
ict quality policy,ict quality control
ict recovery techniques,ict recovery methods|ict recovery techniques for corrupted data|ict recovery techniques for corrupted software components|ict recovery techniques for damaged and corrupted software components|ict recovery techniques for hardware
ict sales methodologies,ict sales techniques
ict security legislation,cyber-security regulation|ict law|legal aspects of computing|network and information security legislation
ict security standards,cyber security compliances|cyber security frameworks|cyber security standards|ict security compliances|ict security frameworks|information security compliances|information security frameworks|information security standards|it security compliances|it security frameworks|it security standards
ict software specifications,ict application specifications|ict programme specifications|ict software specification|ict software specifying|ict system specifications|specify use of ict software
ict system integration,system integration
ict system programming,network programming|server side programming
ict system user requirements,analysis of user requirement in ict systems|analysis of user requirements in ict systems
id tech,id tech software
illegal substances,banned objects|banned substances|criminal objects|criminal substances|illicit objects|illicit substances|unlawful objects|unlawful substances
image formation,processes by which images are formed|processes of image formation|representation of an object to an image plane
image recognition,image detection|image interpretation|visual detection|visual recognition
imaging techniques,imaging methods|imaging procedures|imaging tech|imaging technique|imaging technologies
imitation jewellery,ersatz jewellery|fake jewellery|false jewellery|imitation jewellery pieces|imitation jewelry|piece of imitation jewellery|pieces of imitation jewellery
immigration law,immigration regulation|immigration rules|immigration statutes|migration law|migration regulation|migration rules|migration statutes
immunohaematology,blood group serology|immuno-haematology|study of antigen-antibody reactions
immunology,functioning of the immune system|immunological studies|study of the immune system
immunotherapy,immunotherapies|increasing body's immune system's activity against disease|therapy to increase immune system activity
impact investing,environmental impact investing|impact investing initiatives|impact investing strategy|social impact investing|socially responsible investing
in-circuit test,assess pcbs|assess printed circuit boards|check manufacture of pcbs|check manufacture of printed circuit boards|fict|fixtureless in-circuit test|ict|in-circuit testing|testing in-circuit
incidents and accidents recording,methods of incidents and accidents recording|methods of incidents and accidents reporting|recording of incidents and accidents|reporting of incidents and accidents|techniques for incidents and accidents recording|techniques for incidents and accidents reporting|types of incidents and accidents recording|types of incidents and accidents reporting|typology of incidents and accidents recording|typology of incidents and accidents reporting
incremental development,gradual development
industrial design,design for industry|industrial manufacturing design|industrial process design|industrial product design|industry design
industrial engineering,engineering for industry|industrial engineering analyses|industrial engineering analysis|industrial engineering applications|industrial engineering fieldwork|industrial engineering research|industrial engineering studies|industrial engineering work
industrial heating systems,energy efficient industrial heating|green heating for industrial facilities|green heating for industry|heating systems for industrial buildings|industrial heating|industrial heating that is energy efficient|systems for heating industrial buildings
industrial paint,factory enamel|factory lacquer|factory paint|industrial emulsion|industrial enamel|industrial lacquer|industrial varnish|workshop emulsion|workshop varnish
industrial research and development,process research and development|product research and development|r&d
industrial software,continuing professional development in industrial tools and software|industrial application of software|manufacturing software|scheduling software|software for engineering applications|software for manufacturing|software for production processes|software used in industrial
industrial tools,factory made apparatus|factory made appliances|factory made devices|factory made mechanisms|industrial apparatus|industrial appliances|industrial devices|industrial mechanisms
infection control,asepsis|infection containment|infection prevention|infections control|prevention of infection|prevention of infections
infections in food,food infection|food infections|food risks|infection in food|infectious agents in food products
informatica powercenter,informatica power center|powercenter informatica
information architecture,data architecture|information system design
information categorisation,design of information structures|information classification
information confidentiality,consumer data privacy|data access control|data confidentiality
information extraction,information extraction techniques
information governance compliance,company policy compliance|governance information compliance|information compliance governance
information security strategy,infosec strategy
information structure,data infrastructure|data structuring methods|types of data infrastructure
infrared sensors,characteristics of infrared sensors|detectors of infrared light|infrared light detectors|infrared light sensors|infrared motion sensors|prices of infrared sensors|range of infrared sensors|sensors for infrared light|sensors of infrared|sensors of infrared light|types of infrared sensor
ingredient threats,ingredient faults|ingredient problems|ingredient threat|ingredients risks|threat to an ingredient|threats to ingredients
ingredients for beer production,beer production ingredients|ingredients for beer formulation|ingredients for beer making|ingredients for beer manufacture|ingredients for beer preparation|ingredients for beer producing|ingredients for the production of beer
inheritance council practices,birth right council practices|heritage council practices|inheritance council|patrimony council practices
injection moulding machine parts,components of injection moulding machines|elements of injection moulding machines|injection molding machine parts|injection moulding machine components|injection moulding machine elements|parts of injection moulding machine|parts of injection moulding machines
inland waterway police regulations,inland waterway legal regulations|inland waterway police rules|legal codes enforced by police in inland waterways|legal regulations enforced by police in inland waterways|legal regulations for inland waterways|legal requirements enforced by police in inland waterways|legal rules for inland waterways|police regulations for inland waterways|regulations enforced by police in inland waterways
inland waterway ship building,building of inland waterway ships|building of inland waterway vessels|construction of inland waterway ships|construction of inland waterway vessels|fabrication of inland waterway ships|fabrication of inland waterway vessels|inland waterway ship construction|inland waterway ship manufacture|inland waterway vessel building|inland waterway vessel manufacture|manufacture of inland waterway ships|manufacture of inland waterway vessels
innovation in nursing,innovation in the nursing field|innovations in nursing|innovative methods in nursing|innovative tools in nursing
innovation processes,process of innovation
inorganic chemistry,characteristics of inorganic chemistry|inorganic-chemistry|synthesis and behaviour of inorganic and organometallic compounds
insolvency law,bankruptcy regulations|bankruptcy rules|bankruptcy statutes|insolvency regulations|insolvency rules|insolvency statutes
insourcing strategy,insourcing planning strategy
instructional design models,instructional design methods
instructional strategies,instructional techniques
instructions of aerodrome operations,aero-drome operation directions|aerodrome operation instructions|aerodrome operations directions|aerodrome operations instructions|directions guiding aerodrome operations|directions guiding operation of aerodrome|directions on aerodrome operations|instructions guiding aerodrome operations|instructions guiding the operation of aerodromes
instrument performance elements,indicators of instrument performance|influences on instrument performance|instrument performance indicators|instrument performance influences|performance elements of instrument|performance elements of instruments|range of instrument performance elements|types of instrument performance elements
instrumentation engineering,discipline control engineering|discipline of instrumentation engineering|science of control engineering|science of instrumentation engineering
instrumentation equipment,equipment for instrumentation|equipment used in instrumentation|process control equipment|process control instruments|process monitoring equipment|process monitoring instruments|valves
insurance law,insurance legislation|insurance regulations|law concerning insurance policies|regulations concerning insurance policies
insurance market,coverage market|insurance markets
integrated circuit types,analogue integrated circuits|digital integrated circuits|ic types|mixed-signal integrated circuits|range of integrated circuits|types of ic|types of integrated circuit|typology of integrated circuit
integrated circuits,chip|hybrid integrated circuit|ic|ics|integrated electronic circuits|microchip|monolithic integrated circuits|signal circuits
integrated design,integrated design approach|integrated design for buildings|integrated design methodology|integrative design|integrative design approach
integrated development environment software,anjuta|borland c++ builder|code::blocks|codeforge|codelite|dev-c++|dialogblocks|ide|mingw developer studio|netbeans|philasmicos entwickler studio|spe|wxhatch|zeus ide
integrated food-energy systems,ifes
integrated pest management,integrated pest management methods|integrated pest management techniques|ipm|ipm methods|ipm techniques
intellectual property law,intellectual property laws|intellectual property legislation|intellectual property regulation|intellectual property rules|intellectual property statutes|the law of intellectual property|the laws of intellectual property
intensive care medicine,critical care medicine|intensive care|intensive care medical science|intensive-care medicine|medical intensive care
inter-organisational middleware system,ioms
interactive media,interactive multimedia
interfacing techniques,interface design techniques
intermodal options,current and future intermodal transport options|current and future intermodal transportation options|different forms of intermodal transport|different forms of intermodal transportation|different systems of intermodal transport|different systems of intermodal transportation|intermodal alternatives|intermodal choices|intermodal opportunities|intermodal systems
intermodalism,characteristics of intermodalism|fundamentals of intermodalism|intermodal freight transport|intermodal freight transportation|intermodal transport|intermodal transportation|intermodalism paradigms|intermodalism principles|paradigms of intermodalism|principles of intermodalism
internal auditing,internal audits|internal investigations|internal probes
internal risk management policy,risk management internal policy
international business,cross-border business|international commerce
international commercial transactions rules,international commerce transaction rules|international commercial transaction rule|international commercial transaction rules|international commercial transactions laws|international commercial transactions legislation|international commercial transactions regulations|international commercial transactions statutes
international development,global development|worldwide development
international financial reporting standards,international accounting reporting standards|international finance reporting standards|international financial reporting guidelines|international financial reporting standard|reporting standards for international finance
international human rights law,international human right rules|international human rights legislation|international human rights regulations|international human rights statutes|multi national human right rules|multi national human rights legislation|multi national human rights regulations|multi national human rights statutes
international import export regulations,international import and export regulations|international import export laws|international import export legislation|international import export regulation|international import export rules|international import export statutes|international imports and exports regulations
international law,international regulation|international rules|international statutes|multi national law|multi national regulation|multi national rules|multi national statutes
international maritime organisation conventions,codes of the international maritime organisation|conventions of the imo|conventions of the international maritime organisation|imo best practice in international shipping|imo codes|imo conventions|imo practice of international shipping|imo regulations|imo regulatory framework|imo shipping standards|international maritime organisation best practice in international shipping|international maritime organisation codes|international maritime organisation practice of international shipping|international maritime organisation shipping standards|international maritime organization conventions
international security studies,conflict studies
international tariffs,import-export duties|import-export levies|import-export tariffs|import-export taxes|international cargo duties|international cargo tariffs|international duties|international duties on transported goods|international levies|international tariffs on transported goods|international taxes
international trade,foreign trade|global trade|international commerce|international trading|world wide trade
international waterways,global maritime waterways|global navigable bodies of water|global waterways|international maritime waterways|international navigable bodies of water|international water transport routes|international water transportation routes|maritime waterways around the world|worldwide maritime waterways
internet governance,internet governance policies|internet regulation
internet of things,information appliances|iot|pervasive systems|smart devices|ubiquitous computing
interpreting modes,interpretation modes|interpreting approaches|interpreting procedures|interpreting processes|interpreting systems|interpreting techniques
interview techniques,interview methods|interview practices|interview procedures|interview technique|interviewing techniques
intracranial hypertension,intra-cranial hypertension|intracranial elevated blood pressure|pathophysiology of high blood pressure|pathophysiology of hypertension
intravenous infusion,intravenous infusion therapy|intravenous infusions|iv therapy
intubation,artificial respiration through intubation|tracheal intubation
inventory management rules,inventory administration rules|inventory management rule|inventory managing rule|inventory managing rules|inventory oversight rules|inventory regulation rules|inventory supervision rules
investigation research methods,investigation research approaches|investigation research arrangements|investigation research plans|investigation research processes|investigation survey approaches|investigation survey arrangements|investigation survey plans|investigation survey processes
investment analysis,post-investment analysis|post-investment review|pre-investment analysis
investment banking,equity banking
ios,ios (operating system)|ios development|ipados|iphone os|iphoneos
ipc standards,electronics manufacturing standards|institute for printed circuits standards|international electronics manufacturing standards|international pcb manufacturing standards|pcb manufacturing standards|standards produced by ipc|standards published by ipc
iridology,iridiagnosis|iridodiagnosis|science of studying the iris|sciences of studying the iris|study of iris chart|study of iris charts
irish,ability to comprehend spoken and written irish and to speak and write in irish|competent in irish|gaelic|irish gaelic
irrigation systems,characteristics of irrigation methods|characteristics of irrigation systems|methods for irrigation|range of irrigation methods|range of irrigation systems|systems for irrigation|types of irrigation methods|types of irrigation systems|typology of irrigation methods|typology of irrigation systems
islam,islamic beliefs|islamism|religion of islam
islamic studies,islamic beliefs|islamic faith|islamic religion|islamic religion texts
isometric perspective,isometric graphical representation|isometric projection|isometric representations in technical and engineering documents|isometric view|use of isometric perspective in engineering diagrams|use of isometric perspective in engineering drafts|use of isometric perspective in technical diagrams|use of isometric perspective in technical draft
italian,ability to comprehend spoken and written italian and to speak and write in italian|competent in italian
iterative development,iterative development methodology
japanese,ability to comprehend spoken and written japanese and to speak and write in japanese|competent in japanese
java,java programming|jdk
java (computer programming),java 2|java 2 enterprise edition
javanese,ability to comprehend spoken and written javanese and to speak and write in javanese|basa jawa|cara jawa|competent in javanese
javascript,client-side javascript|csjs|ecmascript|escript|js|live script|mocha|server-side javascript
javascript framework,
jenkins,
jest,
jewellery processes,a jewellery process|jewellery process|jewellery processing|jewellery techniques|jewelry processes|principles of jewellery production
jewellery product categories,categories of jewellery product|jewellery product category|jewellery product grades|jewellery product kinds|jewellery product tiers|jewellery product types|jewellery products categories|jewelry product categories
job market offers,job market offer|job opportunities|labour market offers|labour market opportunities
joint ventures,companies with shared ownership|joint venture
joomla,joomla software
journalism,journalist|journalists|press|reportage
journalistic principles,journalistic approaches|journalistic concepts|journalistic methods|journalistic principle
jsss,javascript style sheets
judaism,jewish beliefs|jewish faith|jewish religion|judaism's traditions
juvenile detention,juvenile confinement|juvenile custody|juvenile imprisonment|juvenile incarceration|young offender confinement|young offender custody|young offender imprisonment|young offender incarceration
kafka,apache kafka
kali linux,kali docs|kali linux distribution|kali nethunter|kali penetration testing tool|kali tools
kazakh,ability to comprehend spoken and written kazakh and to speak and write in kazakh|competent in kazakh
kdevelop,kdevelop platform|kdevplatform
keras,
key risk indicators,key risk indicators for monitoring risk exposure|key risk prediction indicators|kris|kris for crises prevention|kris for risk prediction
keywords in digital content,metadata tagging
kiln types,characteristics of kilns|kiln characteristics|kiln typology|operation of kilns|types of kiln|typology of kilns
kinanthropometry,kinanthropometrics
kindergarten school procedures,kindergarten procedure|kindergarten procedures|kindergarten school approaches|kindergarten school methods|kindergarten school procedure|kindergarten school processes
kinesiology,applications of kinesiology|human kinesiology|principles of kinesiology|scientific study of human movement|study of human movement
kinesitherapy,kinesiatrics|kinesiotherapy|kinesitherapeutic|kinesitherapist
kinetics,fundamentals of kinetics|study of kinetics|study of movement and its causes
knitting machine technology,knitted fabric machinery technology|knitted fabric production technology|knitting machinery technology|technology for knitting machinery|technology for knitting machines|technology for the production of knitted fabric
knowledge base,it knowledge base
knowledge management,information management|information management process|information management techniques|knowledge management process|knowledge management techniques
korean,ability to comprehend spoken and written korean and to speak and write in korean|competent in korean
kosher meat,kosher beef|kosher chicken|kosher lamb|kosher meats|kosher veal
kosher slaughtering practices,kosher slaughter practice|kosher slaughter practices|kosher slaughtering conventions|kosher slaughtering methods|kosher slaughtering practice|kosher slaughtering processes|kosher slaughtering rituals
kotlin,kotlin language
kubeflow,
kubernetes,k8s
kurdish,ability to comprehend spoken and written kurdish and to speak and write in kurdish|competent in kurdish
lab scale fermentation,conversion of biomass|fermentation at lab scale|making of chemicals|making of fuels|making of sugars|process of lab scale fermentation|processes of lab scale fermentation
laboratory equipment,lab equipment|laboratory devices|laboratory gear
laboratory techniques,electronic methods|gravimetric analysis|lab techniques|natural science techniques|technique used in laboratory|techniques used in laboratory|thermic methods
laboratory-based sciences,a laboratory-based science|laboratory-based learning|laboratory-based science|laboratory-based skills|laboratory-based systems|laboratory-based techniques
labour law,"labor law|labour laws|labour rules and regulations, workers' law|labour statutes|workers' law"
labour legislation,employment legislation|labor legislation|legislation on labour
labour market,employment market|job market|labor market|labour markets
lacquer paint applications,lacquer paint utilisation|primer application|primer utilisation|use lacquer paint|use primer|utilise lacquer paint|utilise primer
lacquer spray gun parts,coating air brush components|coating air brush elements|coating air brush items|coating air brush units|lacquer spray gun components|lacquer spray gun elements|lacquer spray gun items|lacquer spray gun units
lactation,breast-feeding|physiology and function of the breast during lactation|physiology of the secretion of milk
lambda,aws lambda
lams,learning activity management system
landscape analysis,mathematics of environmental analysis|mathematics of landscape analysis|methods of environmental analysis|methods of landscape analysis|science of environmental analysis|science of landscape analysis|techniques in environmental analysis|techniques in landscape analysis
landscape architectural instruments,impact of laws and codes pertaining to landscape architecture|implications of laws and codes pertaining to landscape architecture|range of landscape architectural instruments and codes|range of laws and codes pertaining to landscape architecture|scope of landscape architectural instruments and codes|scope of laws and codes pertaining to landscape architecture|types of landscape architectural instruments and codes|typology of landscape architectural instruments and codes
landscape architecture,field of landscape architecture|practices of landscape architecture|techniques of landscape architecture
landscape design,field of landscape design|methods in landscape design|methods in landscape maintenance|practices of landscape design|principles of landscape design|principles of landscape maintenance|techniques in landscape design|techniques in landscape maintenance|types of landscape design
landscaping materials,cement for landscaping purposes|characteristics of landscaping materials|gravel for landscaping purposes|materials for landscaping|pebbles for landscaping purposes|range of landscaping materials|soil for landscaping purposes|types of landscaping materials|typology of landscaping materials|wood chips for landscaping purposes|wood for landscaping purposes
langchain,
langgraph,
language teaching methods,language teaching approaches|language teaching method|language teaching strategies|language teaching techniques
laravel,
laser engraving methods,laser engraving|laser engraving approaches|laser engraving arrangements|laser engraving mechanisms|radiation beam etching|radiation beam etching approaches|radiation beam etching arrangements|radiation beam etching mechanisms
laser marking processes,electric beam marking measures|electric beam marking mechanisms|electric beam marking operations|electric beam marking procedures|laser marking measures|laser marking mechanisms|laser marking operations|laser marking procedures
laser types,laser brands|laser categories|laser formats|laser varieties|radiation emission brands|radiation emission categories|radiation emission formats|radiation emission varieties
lasers,fiber lasers|gas lasers|light amplification by stimulated emission of radiation|optical oscillator|photonic lasers|semiconductor lasers|solid-state lasers|types of lasers|typology of lasers
last types,last categories|types of lasts
lathe machine parts,lathing and turning machine components|lathing and turning machine elements|lathing and turning machine pieces|lathing and turning machine units|tumbling machine components|tumbling machine elements|tumbling machine pieces|tumbling machine units
latin,ability to comprehend spoken and written latin and to speak and write in latin|competent in latin
latvian,ability to comprehend spoken and written latvian and to speak and write in latvian|competent in latvian
lautering process,lautering processes|process of lautering|the mashing process|the process of mashing
law enforcement,legislation enforcement|legislation imposition|regulation enforcement|regulation imposition|rules enforcement|rules imposition|statute enforcement|statute imposition
law of non-marital cohabitation,cohabitation law|law of unmarried couples
law of obligation,law of obligations|laws of obligation|laws of obligations|legislation of obligation|regulation of obligation|rule of obligation|statute of obligation
lawn care,lawn maintenance|lawn upkeep
ldap,lightweight directory access protocol
leadership in nursing,leadership for nursing|leadership in nursing care|leadership skills in nursing|management and leadership principles in nursing
leadership principles,literature on leadership principles|literature on management principles|principles of leadership|principles of management|range of leadership principles|range of management principles|scope of leadership principles|scope of management principles
lean manufacturing,ace achieving competitive excellence|business excellence|manufacturing excellence|operational excellence|pdca|process excellence|total productive maintenance|wcm world class manufacturing
lean project management,lean project management approach|lean project methodology|lean six sigma
learning difficulties,learning complications|learning delays|learning difficulty|learning problems
learning management systems,atutor|blackboard learning system|certpoint systems inc.|chamilo|desire2learn|digication|docebolms|ecollege|eduwave|efront|expertus|globalscholar|hotchalk|ilias|informetica|intuo|itworx clg (connected learning gateway)|joomlalms|latitude learning llc|lms|meridian knowledge solutions|ning|olat|openolat|questionmark|sclipo|sharepointlms|spongelab|sslearn|successfactors|sumtotal systems|swad|talentlms|teamwox|topyx|totara lms|uzity|vitalect|webwork
learning needs analysis,learning needs analyses|learning needs assessment|learning needs evaluation
learning technologies,learning channels
leasing characteristics,lease characteristic|lease characteristics|leasing aspects|leasing attributes|leasing characteristic|leasing components|leasing qualities
leasing process,leasing|leasing agreements|leasing arrangements|leasing measures|leasing of property|rental agreements|rental arrangements|rental processes|renting
leather chemistry,chemical composition and properties of leather|chemical properties of leather|leather chemistry monitoring|leather chemistry properties|tanning chemistry|the chemistry of leather
leather colour chemistry,colour chemistry for leather|dyeing chemistry|dyeing chemistry for leather|leather color chemistry|leather colouring|leather dyeing chemistry|leather dyes
leather finishing technologies,finishing of leather technologies|finishing of leather tehcnology|leather coating and laminating finishing technology|leather coating and laminating technology
leather goods components,leather articles components|leather goods components' properties and manufacturability|leather goods materials and components|leather products components|leatherwear components|properties and manufacturability of leather goods components
leather goods manufacturing processes,leather goods processing operations|leather goods production processes|leatherwear manufacturing processes|leatherwear processing operations|leatherwear production processes|manufacturing processes for leather goods|manufacturing processes for leatherwear
leather goods materials,leather goods raw materials|leather products materials|leatherwear materials|materials for leather goods|materials for leather products|materials for leatherwear|materials in leather goods|materials in leather goods production
leather goods quality,leather goods quality control and assurance|leatherwear quality|leatherwear quality control and assurance|quality assurance and control in leather goods|quality assurance and control in leatherwear|quality in leather goods|quality in leatherwear
leather physical testing,leather physical testing machines usage|leather physical tests|physical testing of leather|physical tests for leather|usage of leather physical testing machines|usage of physical testing machines for leather properties
leather products maintenance,leather brands maintenance|leather commodities maintenance|leather goods maintenance|leather merchandise maintenance|leather product maintenance|leather products maintaining|maintaining leather products
leather technology,leather industry technologies|leather industry technology|leather technologies|technologies for leather manufacturing|technologies for leather production|technologies of the leather industry|technology of the leather industry
led lighting components,led lighting devices|led lighting sources|led modules
legal case management,judicial case administration|judicial case oversight|judicial case regulation|judicial case supervision|legal case administration|legal case oversight|legal case regulation|legal case supervision
legal department processes,legal department procedures|management legal methods
legal environment in music,music related laws and regulations
legal research,judicial analysis|judicial inquiries|judicial investigations|judicial probing|legal analysis|legal inquiries|legal investigations|legal probing
legal standards in gambling,gambling legal standards|legal requirements in gambling|legal standards in betting
legal studies,law studies|the study of law
legal terminology,judicial language|judicial phraseology|judicial phrases|judicial terms|legal language|legal phraseology|legal phrases|legal terms
legal use-of-force,discourage criminal violations|implement crime prevention measures|use of legal force|using legal force
legislation in agriculture,agricultural legislation|agricultural statutes|agriculture rules|land-based industries rules|land-based industries statutes|land-based industry legislation|regulation of agriculture|regulation of land-based industries
legislation procedure,law making measures|law making methods|law making policies|law making strategies|legislation measures|legislation methods|legislation policies|legislation strategies
lepidoptery,aurelian studies|moth studies|the study of moths
less,less language
level crossing regulations,grade crossing regulations|laws governing operation of level crossings|legal codes governing operation of level crossing|legal procedures for operation of level crossings|legal requirements governing operation of level crossings|level crossing operating regulations|railroad crossing regulations|railway crossing regulations|regulations for level crossings|train crossing regulations
levels of software testing,software integration testing
