skill,skill_aliases
game theory,conflict resolution theory|game theory for blockchain|rational choice theory|interactive decision theory
breed ostriches,manage the breeding of ostriches|supervising ostrich breeding|supervise the breeding of ostriches|ostrich breeding supervising|managing ostrich breeding|supervise ostrich breeding|managing the breeding of ostriches|ostrich breeding managing|manage ostrich breeding|supervising the breeding of ostriches
provide guidance on infectious disease,deliver support on infectious health issues|provide recommendations on infectious disease|supply information on infectious health issues|give counsel on infectious disease
assemble toys,produce toys|construct toys|assembling toys|put together toys|build toys|assemble a toy
games rules,rules of the game|games regulating principles|games regulations
tend blanching machines,take care of blanching machines|look after blanching machines|watch blanching machines|tend a blanching machine|mind blanching machines|tending blanching machines
wheel impact load detector,wild|detector of wheel impact loads|vehicle impact on railway track detector|device to measure impact on track|detector of vehicle impact on railway|w.i.l.d.
ensure passage metal detection,confirm passage through metal detection|ensure metal detection passage|ensuring passage metal detection|make sure passengers pass through metal detector
create puppets,creating puppets|construct puppet forms|create a puppet|create string puppets
nursing principles,ethics of nursing|nursing code of conduct|principles of nursing|theories and concepts of nursing|nursing theories and concepts|nursing concepts and theories
advise on use of land,guide the use of land|make recommendations on use of land|give advise on use of land|counsel on use of land
record court procedures,document court operational systems|evidence court operational systems|chronicle court operational systems|monitor court procedures|monitor court operational systems|evidence court procedures|chronicle court procedures|document court procedures
interpret spoken language between two parties,interpreting spoken language between two parties|deliver spoken interpretation between two parties|interpreting spoken languages between two parties|generate spoken interpretation between two parties|provide spoken interpretation between two parties|interpret spoken languages between two parties
produce harpsichord components,producing harpsichord components|build harpsichord components|construct harpsichord components|erect harpsichord components|make harpsichord components|produce a harpsichord component
orthoptics,diagnosis and management of strabismus|orthoptic practice|orthoptic principles|orthoptic treatment|orthoptic principle|orthoptic practices|orthoptic treatments
keep records of customer interaction,retain records of customer interaction|keep records of customer interactions|hold records of customer interaction|store records of customer interaction|keep a record of customer interaction|save records of customer interaction|keeping records of customer interaction
assess students' preliminary learning experiences,assesses students' preliminary learning experiences|gauge students' preliminary learning experiences|assessing students' preliminary learning experiences|measure students' preliminary learning experiences|evaluate students' preliminary learning experiences|assess students' preliminary learning experience
fabricate mouth models,turn impressions of the mouth into models|stone models of the mouth and teeth|fabricate models of the mouth and teeth|trim and polish models of the mouth|use impressions of the mouth to build models|turn impression of the mouth into model
pour concrete underwater,use tremie pipe|pouring concrete underwater|underwater concrete pouring|concrete pouring underwater|using tremie pipe|pouring of concrete underwater|use tremie|using tremie
tend knitting machine,operate knitting machinery|tend knitting machinery|tend machine for textile knitting|operate knitting machine|tend machinery for textile knitting
cytopathology,cyto-pathology|pathology at cellular level|study and diagnose of diseases on the cellular level|pathology of cells
furniture wood types,types of furniture wood|furniture wood species|furniture wood type|wood furniture types|furniture wood varieties
promote employment policy,stimulate recruitment policy|encourage recruitment policy|advocate employment policy|boost recruitment policy|boost employment policy|advocate recruitment policy|encourage employment policy|stimulate employment policy
lead research activities in nursing,do research in nursing|lead nursing-research activites|lead research initiatives in nursing|support research activties in nursing
evaluate employees,make evaluation of employees|evaluate casino workers|gather information about employees|evaluate workers at casino|give exams to employees|evaluate casino employees|assess casino staff|test employees|assess employees|make assessment of employees
use software libraries,utilise software libraries
monitor shelves loading,watch shelves loading|view shelves loading|monitor shelf loading|monitor a shelf load|oversee shelves loading|monitoring shelf loading|supervise shelves loading
manage all process engineering activities,maintain all process engineering activities|regulate all process engineering activities|oversee all process engineering activities|supervise all process engineering activities|manage all process of engineering activities
supervise dental technician staff,supervise dental technician worker|give advices to dental technician staff|educate dental technician staff|train dental technician staff|supervise dental technician professionals|advise dental technician staff|coach dental technician staff|supervise dental technician professional|supervise dental technician workers|counsel dental technician staff|teach dental technician staff|consult dental technician staff
dive with scuba equipment,diving with scuba equipment|use scuba equipment|use scuba equipment|using scuba equipment|scuba diving|dive with scuba equipment|using scuba equipment|diving with scuba equipment|scuba diving
inspect extruded products,extruded product inspecting|extruded products inspecting|inspecting extruded products|extruded products checking|check extruded products|extruded product checking|checking extruded products
repair underground power cables,underground power cable maintaining|maintaining underground power cables|repairing underground power cables|underground power cables maintaining|underground power cables repairing|underground power cable repairing
immunology,functioning of the immune system|study of the immune system|immunological studies
address damage to paved surfaces in airports,take appropriate action to address damage to paved surfaces in airports|assess damage to airport paved surfaces and identify cost effective solutions|take appropriate action to address damaged paved surfaces in airports|implement solutions to fix damaged paved surfaces in airports|implement solutions to fix airport paved surfaces|take action to address damage to paved surfaces in airports|take appropriate action to address damaged airport paved surfaces|take suitable action to address damage to paved surfaces in airports|ensure damaged airport paved surfaces are effectively addressed|analyse damage to airport paved surfaces and identify cost effective solutions|take appropriate action to address damage to airport paved surfaces|evaluate damage to airport paved services and identify appropriate solutions
decorate textile articles,decorate textile products|ornament textile goods|ornament textile products|ornament textile articles by hand or using machinery|decorate textile goods|ornament textile articles|decorate textile articles by hand or using machinery
set organisational policies,establish organizational policies|set organisational policy|set organizational policies|set organizational policy|participate in setting organisational policies|establish organisational policy|establish organisational policies|participate in setting organizational policies
review trial cases,scrutinise trial cases|audit court casework|audit trial cases|check trial cases|scrutinise court casework|inspect court casework|inspect trial cases|check court casework
planning principles for music therapy interventions,classification systems for planning of music therapy interventions|psychodynamics for planning of music therapy interventions|planning principles for music therapy intervention|music therapy intervention's planning principles
rehearse with fellow actors,rehearse with fellow actor|rehearsing with fellow actors|practise with fellow actors|prepare with fellow actors|study with fellow actors
build fences,fence erecting|fences building|building fences|building enclosure|fence building|erecting fences|erect fences|fences erecting
direct the preparation of food,directing food preparation|preparation of food overseeing|direct food preparation|overseeing the preparation of food|overseeing food preparation|directing the preparation of food|oversee food preparation|preparation of food directing|food preparation overseeing|food preparation directing
provide emergency training,delivering fire safety training|emergency training provision|providing of emergency training|deliver fire safety training|providing emergency training|first aid training delivery|delivering first aid training|fire safety training delivery|provision of emergency training|deliver first aid training
starch production processes,starch production process|starch production measures|starch production systems|production processes of starch|starch production mechanisms|starch production procedures|starch producing processes
blockchain terminology,blockchain terms|terminology of blockchain
contextualise artistic work,investigate artistic work|contextualising artistic work|review artistic work|contextualise artistic works|analyse artistic work|contextualize artistic work
manage third-party logistics providers,manage a third-party logistics provider|supervise third-party logistics providers|oversee third-party logistics providers|regulate third-party logistics providers|third-party logistics provider management|maintain third-party logistics providers|managing third-party logistics providers
examine engineering principles,examine engineering fundamentals|analyse enineering principles|look into engineering principles|investigate engineering principles|research engineering principles|examine principles of engineering|study engineering principles|explore engineering principles
e-learning software infrastructure,e-learning software infrastracture and applications
advise on efficiency improvements,give recommendations on efficiency improvements|counsel on efficiency improvements|advise on improving efficiency|advise on efficiency improvement|offer suggestions on efficiency improvements|advising on efficiency improvements
perform water treatment procedures,perform a water treatment procedure|water treatment procedure operations|performing water treatment procedures|undertake water treatment procedures|complete water treatment procedures|implement water treatment procedures
handle residual gases,residual gas handling|handle residual gasses|dealing with residual gases|handling residual gases|deal with residual gases|evacuating residual gases|residual gases handling|evacuate residual gases
solicit event publicity,solicit an event's publicity|request publicity for an event|request advertising for an event|solicit publicity for an event
resuscitation,cpr|cardiopulmonary resuscitation|cardiac resuscitation
monitor legislation developments,oversee legislation developments|monitor development of policies|observe legislation developments|monitor development of legislation|monitor policies development|oversee policies development
geology,physical geography|processes of geology|geological processes|earth science|vulcanology|geological science|geomorphology|science of geology
aeroponics,aeroponics cultivation|soil-less cultivation
voice interpreting,deliver voice interpreting|provide voice interpreting|voice interpretation|generate voice interpreting
build a fire,builds a fire|fire building|building a fire|build fire|start a fire|light a fire|make a fire
engage with offenders,cooperate with offender|engage with offender|work with offenders|cooperate with offenders
types of pensions,types of social security|types of retirement funds|types of retirement accounts+k64
skin animals,skinning animals|skin an animal|dissect animals|cut up animals|strip animals
manufacturer's recommended price,manufacturer's suggested price|a manufacturer's recommended price|manufacturer's recommended prices|manufacturer's estimated price|manufacturer's recommended pricing|manufacturer's calculated price
customs regulations for passengers,customs and immigration codes|customs rules for passengers|passenger customs regulations|customs and immigration regulations for passengers|regulations for crossing borders|border crossing regulations|customs law for passengers|regulations for customs and immigration enforcement|customs and immigration laws|passenger customs rules
design electromagnets,electro-magnet designing|electro-magnet developing|developing electromagnets|develop electro-magnets|develop electromagnets|designing electro-magnets|electromagnets developing|electromagnet designing|design electro-magnets|electromagnets designing|electro-magnets developing|designing electromagnets|electromagnet developing|developing electro-magnets|electro-magnets designing
monitor processing environment conditions,monitoring processing environment conditions|monitor processing room conditions|monitoring processing room conditions|processing room conditions monitoring|processing environment conditions monitoring
follow signalling instructions,act in accordance with signalling instructions|act according to signalling instructions|adhere to signalling instructions|perform actions according to signalling instructions|interpret signalling instructions|comply with instructions of signallers|follow signaling instructions|comply with signalling instructions|follow instructions of signallers|observe signalling instructions|ensure compliance with signalling instructions
packaging functions,packaging operations|packaging applications|package functioning|packaging practices|packaging function|packaging performance|a packaging function
shellfish cultivation systems,techniques to cultivate shellfish|methods to cultivate shellfish|ways to cultivate shellfish|typology of shellfish cultivation systems|types of shellfish cultivation systems|range of shellfish cultivation systems|systems for shellfish cultivation
deburring processes,excess metal removal measures|deburring procedures|deburring systems|excess metal removal systems|excess metal removal procedures|deburring measures|deburring operations|excess metal removal operations
advise on machinery malfunctions,contribute advice to technicians|provide advice to technicians|furnish advice to technical operating staff|give advice to technical operating staff|furnish advice to technicians|arrange advice to technicians|give advice to technicians|contribute advice to technical operating staff|arrange advice to technical operating staff
remove photographic film from camera,extract photographic film from camera|withdraw photographic film from camera|take photographic film out of camera|removing photographic film from camera
pose questions referring to documents,pose document related questions|posing questions referring to documents|ask questions referring to documents|pose questions referring to document|put forward questions referring to documents
develop creative ideas,produce creative ideas|generate creative ideas|developing creative ideas|create creative ideas
install falsework,installation of falsework|assembling falsework|installation of falsework structure|falsework installation|install falsework structure|falsework assembly|falsework structure installation|assembly of falsework|assemble falsework|installing falsework structure|installing falsework
manage space utilisation,supervise space utilisation|manage utilisation of space|oversee space utilisation|managing space utilisation
regulation on the discharge of raw materials into the sea,legal codes on the discharge of raw materials into the sea|regulation on the discharge of raw materials into the ocean|legislation on discharging raw materials into the sea in an environmentally friendly manner|legal requirements for discharging raw materials into the sea|environmental requirements for discharging raw materials into the sea|regulation on the release of raw materials into the ocean|legislation on discharging raw materials into the sea|regulation on the release of raw materials into the sea
manage vehicle cleaning plan,ensure regular cleaning of vehicles according to defined standards|develop and implement vehicle cleaning plan|conduct vehicle cleaning management activities|supervise vehicle cleaning plan|perform vehicle cleaning management activities|manage vehicle cleaning|oversee vehicle cleaning plan|ensure cleaning of vehicles according to set standards|manage cleaning plan for vehicles|supervise cleaning plan for vehicles|oversee cleaning plan for vehicles
develop project schedule,create a project timetable|develop schedule for the project|developing a project schedule|develop the schedule
monitor grounds,grounds checking|grounds condition monitering|check grounds|monitering condition of grounds|grounds monitering|checking grounds|checking condition of grounds|moniter condition of grounds|check condition of grounds|grounds condition checking|monitering grounds
lead board meetings,guide board meetings|direct board meetings|run board meetings|lead board meeting|leads board meetings|leading board meetings
perform media outlets research,perform media outlet research|perform research on media outlets|conduct media outlets research|performing media outlets research|do media outlets research
types of textile fibres,textile fibres fibers|types of textile fibers|natural and man-made textile fibres|textile fibres
communicate with jury,engage with jurors|engage with jury|interact with jury|speak with jurors|speak with jury|interact with jurors
ajax framework,ajax framework features|ajax framework features for web applications development|ajax framework for web applications development|ajax framework components|ajax development environments|ajax framework for web application development|ajax framework features for web applications development|ajax software development environments|ajax framework components|ajax framework features|ajax framework features for web development|ajax framework for web applications development
analyse the need for technical resources,investigate the need for technical resources|examine the need for technical resources|analyze the need for technical resources|analysing the need for technical resources|analyse technical resources need|evaluate the need for technical resources
work in a hospitality team,become an effective team player in the hospitality field|form part of a team|work in a team of hospitality|work as a hospitality team
advise customers on power requirements of products,advise customers on the power requirements of products|advising customers on power requirements of products|instruct customers on power requirements of products|commend customers on power requirements of products|help customers on power requirements of products|recommend customers on power requirements of products|suggest customers on power requirements of products|advise a customer on power requirements of products
apply precision farming,using precision farming methods|applying precision farming|precision farming methods using|use precision farming methods|precision farming applying
provide power connection from bus bars,draw power connection from bus bars|provide power from bus bars|provide bus bars to connect power|provide electricity from bus bars
match actors to roles,match actor to role|matching actors to roles|allocate actors to roles|assign actors to roles
operate hatchery recirculation system,run hatchery recirculation system|hatchery recirculation system operating|running hatchery recirculation system|operating hatchery recirculation system|hatchery recirculation system running
perform for young audiences,make performance accessible and adequate for young audiences|perform for young adults|perform for children|act for young audiences|performance for young audiences
identify electronic signals,detect electronic signals|identifying electronic signals|electronic signals identifying|detecting electronic signals|electronic signals detecting
teach marketing principles,explain marketing principles|educate on sales principles|provide instruction on marketing principles|teaches marketing principles|educate on marketing principles|teaching marketing principles
provide interpreting services in tours,deliver interpreting services in tours|providing interpreting service in tours|providing interpreting services in tours|supply interpreting services in tours|offer interpreting services in tours
adapt costumes,adapt costume|adapting costumes|rework costumes|modify costumes|alter costumes
plant green plants,plant seeds manually|green plants planting|green plant planting
estimate distances,measure distances|estimate a distance|estimating a distance|evaluate distances|estimating distances|assess distances|identify distances
hydrotherapy,hydrotherapies|use of water for pain relief|use of water for treatment
battery components,types of battery components|components of batteries|battery parts|voltaic cells|typology of battery components|battery elements
montessori philosophy,montessori thinking|montessori viewpoint|montessori philosophies|montessori worldview
write gujarati,show competency in written gujarati|correspond in written gujarati
teach customer service techniques,teach customer service approaches|provide training in customer service methods|perform customer service training|provide training in approaches to customer service|provide training in customer service techniques|teach approaches to customer service|teach methods of customer service|teach customer service methods|teach techniques in customer service|carry out customer service training|conduct customer service training
handle surveillance equipment,handle surveilling equipment|manage surveillance cameras|operate security cameras|handle equipment of surveillance
operate medical imaging equipment,create x-ray images|create mri images|operate equipment for medical imaging|utilise medical imaging equipment|apply medical imaging techniques using the respective equipment|create spect images|operate medical-imaging equipment|create ct images|utilize medical imaging equipment|handle medical imaging equipment
order equipment,source new equipment|ordering equipment|order the equipment|procure machinery and equipment
create individual treatment programmes,create personal treatment programme|develop treatment programmes for individual patient|create personal treatment programmes|create individual treatment schedule|construct individual treatment programme|create individual treatment schedules|create individual treatment programs|develop individual treatment programmes|develop individual treatment programme|construct individual treatment programmes
observe confidentiality,look at confidentiality|look at covert actions|view covert actions|oversee covert actions|oversee confidentiality|view confidentiality
promote financial products,advertise financial products|market financial products|promote financial services|advertise financial product
quality standards,quality standards for products
create an airport master plan,create an airport strategic plan|write a long term plan for airport development|produce a long term plan for airport development|develop long term strategy for airport development|compose a long term plan for airport development|produce an airport master plan|develop an airport master plan|develop scheme for airport development|develop an airport strategic plan|create a master plan for airport development
fill out forms,complete forms|enter data into forms|fill out form|filling out forms|fill in forms
monitor banking activities,monitor financial affairs|monitor economic affairs|monitor investment activities
evaluate entertainment programme,evaluate programmes of entertainment|evaluate entertainment program|obtain feedback regarding entertainment programmes|evaluate an entertainment program|conduct survey to assess leisure programmes
contribute to bilge and ballast operations,contributing to ballast operations|contribute to bilge operations|contribute to ballast operations|assisting in bilge operations|assist in ballast operations|assisting in ballast operations|assisting in bilge and ballast operations|assist in bilge and ballast operations|assist in bilge operations|contributing to bilge and ballast operations|contributing to bilge operations
teach art studies class,teaches art studies class|teach art studies course|teaching art studies class|teach art studies lesson
evaluate clinical psychological measures,measure the impact of clinical psychological tests|evaluate the impact of a psychological measure|analyse clinical psychological investigations|evaluate the impact of psychological measures|evaluate clinical psychological investigations|evaluate the outcome of psychological measures|assess clinical psychological measures
use non-destructive testing equipment,non-destructive testing method application|using non-destructive testing equipment|application of non-destructive testing methods|non-destructive testing equipment utilisation|non-destructive testing equipment use|use of non-destructive testing equipment|utilisation of non-destructive testing equipment|applying non-destructive testing methods|apply non-destructive testing methods
maintain waste incinerator,repairing waste incinerator|waste incinerator maintaining|waste incinerator repairing|maintaining waste incinerator|repair waste incinerator
manage ethical dilemmas in genetic testing,make ethical assessments about the suitability of genetic testing|handle ethical dilemmas in genetic testing|address ethical dilemmas in genetic testing|understand the ethical dilemmas that accompany genetic testing|work with an awareness of the ethical dilemmas that accompany genetic testing|make ethical judgements about the information to be gained through genetic testing|consider ethical dilemmas of genetic testing|cope with ethical dilemmas in genetic testing|make judgements about the ethical limits of genetic testing
tend fertiliser mixer,fertiliser mixer tending|operate fertiliser mixer|operating fertiliser mixer|tend fertilizer mixer|fertiliser mixer operating|tending fertiliser mixer
assess social service users' situation,assess social service user's situation|assess social service users' situations|identify healthcare service users needs|assess social service users' asociated risks
casino game rules,casino game regulations|casino game strategies|game rules of casino|casino rules of the game
evaluate coffee characteristics,check coffee drinks|rate coffee drinks|appraise coffee drinks|evaluating coffee characteristics|test coffee drinks|evaluate the coffee characteristics
maintain ship logs,record ship activities and events in log|ensure written records of events and activities undertaken on vessels|record vessel activities and events in log|produce written records of ship activities|maintain vessel logs|ensure written records of events and activities undertaken on ships|produce written records of vessel activities|update ship logs|keep vessel logs|update vessel logs|keep ship logs
coordinate automotive repair and maintenance service,coordinating automotive repair and maintenance service|coordinate automotive repair and maintenance servicing|preserve automotive repair and maintenance service|manage automotive repair and maintenance service|coordinate automotive repair and maintenance services|sustain automotive repair and maintenance service|control automotive repair and maintenance service
welsh,ability to comprehend spoken and written welsh and to speak and write in welsh|competent in welsh
types of moulding,varieties of moulding|types of molding|categories of moulding|varieties of casting|brands of moulding|brands of casting|casting formats|moulding formats|categories of casting
assist judge,aid judge|help judge|support judge|aid magistrate|help magistrate|support magistrate
provide nursing care for animals in recovery,assist animals recovering form veterinary medical procedures|perform nursing activities for animals in recovery|assist animal recovery process following surgical procedures|care for animals recovering from veterinary medical procedures|provide nursing care for animals recovering from veterinary medical procedures|provide nursing care for animals recovering from surgery|provide supportive care for animals in recovery|provide nursing care for animals recovering from anaesthesia|provide nursing care for animals recovering from surgical procedures|care for animals recovering from surgery
track key performance indicators,undertake key performance indicators|complete key performance indicators|implement key performance indicators|track a key performance indicator|tracking a key performance indicator|tracking key performance indicators
record data from biomedical tests,use it to record and analyse data from biomedical tests|record data from biomedical test|analyze data from biomedical test|analyse data from biomedical tests|record data from a biomedical test
investigate complaints about improper waste handling,explore complaints about improper waste handling|probe complaints about improper waste handling|investigating complaints about improper waste handling|follow up on complaints about improper waste handling|investigate complaints about improper handling of waste|examine complaints about improper waste handling
prepare rubber plies,arranging rubber plies|rubber plies preparing|rubber ply preparing|preparing rubber plies|rubber plies arranging|arrange rubber plies|rubber ply arranging
prepare correspondence for customers,get correspondence for customers ready|prepare customer correspondence|create correspondence for customers|write up correspondence for customers|prepare correspondence for customer|draft correspondence for customers|preparing correspondence for customers
give swimming lessons,teach swimming lessons|instruct on swimming techniques|giving swimming lessons|give swimming lesson|give lessons on swimming
brief hospital staff,give accurate report of patient's condition|inform hospital staff on patient's condition|brief staff of hospital|brief the hospita staff|brief hospital's staff
handle waste rock,management of waste rock|managing of waste rock|managing waste rock|waste rock management|managing development waste|management of development waste|development waste management|manage waste rock|manage development waste|managing of development waste
manage media services department,managing media services department|manage media services departments|direct media services department|supervise media services department|manage department of media services|oversee media services department
types of violins,violins types|types of a violin|brands of violins|variations of violins|categories of violins|varieties of violins|type of violin
use shorthand computer program,utilize shorthand computer programs|use shorthand program|use computer program for shorthand|use shorthand computer programs|using shorthand computer program|work with shorthand computer programs
clear woodland,woodland clearing|clear ground|clearing woodland|ground clearing|clearing ground
research equipment needs,equipment needs research|equipment needs researching|researching of equipment needs|researching component needs|research component needs|researching of component needs|researching equipment needs|component needs research|component needs researching
conserve forests,forests restoring|forest conserving|restoring forests|restore forests|conserving forests|forest restoring|forests conserving
meat and meat products,meat and meat brands|meat and meat product|meat and meat commodities|meat and meat stock|meat and meat merchandise|meats and meats products|products of meat and meat
manage tests,supervise exams|oversee exams|manage test|oversee tests|supervise examinations|manage exams|manage examinations|supervise tests|managing tests|oversee examinations
communicate on the environmental impact of mining,lecturing on the environmental impact of mining|communication about the environmental impact of mining|communicating on the environmental impact of mining|communicate about the environmental impact of mining|lecture on the environmental impact of mining|lecturing about the environmental impact of mining|communicating about the environmental impact of mining|lecture about the environmental impact of mining
transcribe musical compositions,transcribe music compositions|transcribe compositions of music|rewrite musical scores|adapt musical compositions
prepress processes,pre-printing processes|prepress process
maintain biogas plant,repair biogas plant|repairing biogas plant|biogas plant repairing|maintaining biogas plant|biogas plant maintaining
assist children in developing personal skills,assists in children's development of basic personal skills|aid in children's development of basic personal skills|assisting in children's development of basic personal skills|help in children's development of basic personal skills|assist in children's development of basic personal skills
implement scientific decision making in healthcare,implement scientific decision-making|apply scientific decision making|implement scientiic decision-making procedures|integrate evidence-based practice|integrate research evidence into decision making
carry out aerial tree rigging,undertake aerial rigging of trees|carrying out aerial tree rigging|aerial tree rigging carrying out|undertaking aerial tree rigging|undertake aerial tree rigging|carrying out aerial rigging of trees|carry out aerial rigging of trees|undertaking aerial rigging of trees
handle complaints,administer complaints|administer criticisms and grievances|respond to criticisms and grievances|deal with criticisms and grievances|respond to complaints|deal with complaints
understand written kazakh,make sense of written kazakh|understand kazakh writing|comprehend written kazakh|interpret written kazakh|read kazakh
pronunciation techniques,pronunciation technique|pronunciation procedures|pronunciation methods|pronunciation practices
create cutting plan,creating cutting plan|drawing up of cutting plan|creation of cutting plan|cutting plan creation|draw up cutting plan|drawing up cutting plan|cutting plan drawing
create special effects,creating special effects|use various resources for special effects|use materials for special visual effects
analyse latex samples,analysing latex samples|check latex samples|latex samples checking|checking latex samples|analyze latex samples|latex samples analysing
manage casino facilities,direct casino facilities|oversee casino facilities|managing casino facilities|manage casino facility
repair edge banding machinery,adjust edge banding machinery|overhaul edge banding machinery|repair an edge banding machine|repairing edge banding machinery|mend edge banding machinery|fix edge banding machinery
crisis intervention,intervention in crisis|coping mechanisms in cases of crisis|coping strategies in crisis cases
plan rig operations,carrying out rig operations|planning rig operations|prepare rig site|carry out rig operations|rig operations|preparing rig site|planning of rig operations|rig operation planning|rig operations planning|rig operation
operate amusement rides,operate rides for amusement|control automated amusement rides|operating amusement rides|operate equipment in amusement parks
understand spoken serbian,interpret spoken serbian|listen to serbian|comprehend spoken serbian|make sense of spoken serbian|understand serbian speech
maintain automated lighting equipment,keep automated lighting equipment in working order|maintain automated lighting equipment and accessories|keep automated lighting equipment and accessories in working order|look after automated lighting equipment
take disease prevention measures,implement strategies of disease prevention|take disease-prevention measures|take disease prevention measure|develop preventative measures against spread of diseases|take prevention measures against diseases|develop actions for disease prevention
operate digester machine,handle digester machine|control digester machine|run digester machine|activate digester machine|operate digester machines|operating digester machine|use digester machine
clean animal body parts,disinfect animal body parts|clean an animals body part|wash animal body parts|sterilize animal body parts|clean parts of animal body|cleanse animal body parts|cleaning animal body parts
select artwork developed by staff members,select artwork developed by members of staff|select artwork developed by staff|choose artwork designs developed by staff collaborators|choose designs elaborated by staff members
represent company in exhibitions,attend the event|attend shows|visit exhibitions|attend events|attending events
supervise orthoptic treatments,supervise an orthoptic treatment|oversee orthoptic treatments|oversee orthoptic treatment|lead orthoptic treatments|supervise orthoptic treatment
breed goats,supervise goat breeding|goat breeding managing|supervising goat breeding|supervising breeding of goats|manage breeding of goats|managing goat breeding|manage goat breeding|managing breeding of goats|supervise breeding of goats|goat breeding supervising
operate drill press,use semi-automated drills|use drill press|run semi-automated drills|use semi-manual drills|run drill press|utilise drill press|run semi-manual drills|drill press working
prepare fuel station reports,develop reports on fuel sold in fuel station|preparing reports on fuel sold in fuel station|prepare a report on fuel sold in fuel station|supply reports on fuel sold in fuel station|plan reports on fuel sold in fuel station|arrange reports on fuel sold in fuel station|prepare reports on fuel sold in fuel stations|provide reports on fuel sold in fuel station|prepare reports on fuel sold in fuel station
apply fishing maneuvres,conduct fishing maneuvres|apply maneuvres in fishing|conducting fishing maneuvres|fishing maneuvres conducting|conduct maneuvres in fishing|applying maneuvres in fishing|conducting maneuvres in fishing|applying fishing maneuvres|fishing maneuvres applying
apply art therapy interventions,enhance medical conditions through art therapy|carry out art therapy interventions|treat patients' medical conditions with art therapy|treat medical conditions with art therapy|perform art therapy interventions
behavioural disorders,behaviour disorders|behavioural problem|behavioural disorder|behavioral disorders|behavioural delay|behavioural difficulty
analyse reports provided by passengers,analyze reports provided by passengers|assess reports submitted by passengers|analyse reports contributed by passengers|evaluate passenger feedback|use passenger reports to inform strategic decision making|analyse reports given by passengers|make assessments of passenger feedback|assess reports provided by passengers|use reports provided by passengers to inform strategic decision making|utilise passenger feedback in strategic decision making|assess reports given by passengers|analyse reports submitted by passengers|conduct analysis of passenger feedback
log transmitter readings,compile transmitter readings|log transmitter reading|record transmitter readings|logging transmitter readings|note transmitter readings
clear out drains,unblock drains|clearance of drain|clearing out drains|clearance of drainpipe|clearing out drainpipes|clearance of drainpipes|drain clearance|drainpipe clearance|clear out drain|unblock drain|clear out drainpipe|clearance of drains
assemble the rehearsal set,assembling the rehearsal set|fit up the rehearsal set|prepare rehearsal set with props|assemble rehearsal sets|assemble set for the rehearsal|set up rehearsal set with props
rheumatology,specialism in rheumatology|rheumatic specialty|musculoskeletal diseases
prescribe medication,prescribe medicinal products|write prescriptions for medication|prescribe medications
massage theory,principles of massage theory|principles of therapeutic body massage|theory of massage|principles of massage
process fruits and vegetables,prepare fruits and vegetables|produce fruits and vegetable|process fruit and vegetables|process of fruits and vegetables
thread cemented belts,threading cemented belts|cemented belts attaching|cemented belt threading|attach cemented belts|cemented belts threading|cemented belt attaching|attaching cemented belts
maintain professional administration,keep professional administration documents|organise professional administration records|maintaining professional administration
position dredger,correct positioning of dredger|dredger positioning|positioning dredger|correctly place dredger|move dredger into position|move dredger to position|positioning of dredger|moving dredger into position|place dredger correctly|positioning dredger correctly
advise customers on preparation of fruits and vegetables,help customers on preparation of fruits and vegetables|instruct customers on preparation of fruits and vegetables|advise on fruit and vegetables preparation|support customers on preparation of fruits and vegetables|commend customers on preparation of fruits and vegetables|advising a customer on preparation of fruits and vegetables|recommend customers on preparation of fruits and vegetables
calculate cost of covering,calculate the cost of a covering|compute cost of covering|calculating covering costs|measure cost of covering|calculate the cost of covering|work out cost of covering|estimate cost of covering
interpret diagnostic tests in otorhinolaryngology,"analyse tests for ear, nose and throat conditions|analyse diagnostic tests in otorhinolaryngology|analyse diagnosic tests in otorhinolaryngology|analyse tests for ohns|interpret diagnostic tests in ent|analyse tests for head and neck conditions|analyse diagnostic tests in otolaryngology|interpret diagnostic test in otorhinolaryngology"
print stripping,printing stripping
research welding techniques,research welding approaches|research bonding and soldering performance|research welding capabilities|research bonding and soldering capabilities|research bonding and soldering approaches|research welding skills|research welding performance|research bonding and soldering skills
install construction profiles,installing construction profiles|installing metal construction profiles|installation of metal construction profiles|installation of construction profiles|installation of plastic construction profiles|installing plastic construction profiles|construction profile installation|install plastic construction profiles|plastic construction profile installation|metal construction profile installation|install metal construction profiles
sharpen edged tools,edged tool maintaining|edged tool sharpening|maintain edged tools|edged tools sharpening|sharpening edged tools|maintaining edged tools|edged tools maintaining
mark processed workpiece,impress parts of the piece of work|spot parts of the piece of work|imprint processed workpiece|imprint parts of the piece of work|score processed workpiece|spot processed workpiece|impress processed workpiece|score parts of the piece of work
catalan,competent in catalan|ability to comprehend spoken and written catalan and to speak and write in catalan
manage dispatch software systems,manage dispatch software systems;|manage software systems used in dispatching|administer dispatch software systems|conduct dispatch software management activities|oversee dispatch software|oversee computer programmes used in dispatching operations|oversee software systems used in dispatching|administer systems of dispatch software|perform dispatch software management activities|manage computer programmes used in dispatching operations|manage systems of dispatch software|oversee dispatch software systems|manage dispatch software
manufacture medicines,manufacture pharmaceutical products|fabricate medicines|formulate medicines|compound medicines|manufacture medicine|produce medicines
maintain hydraulic systems,hydraulic systems repairing|repairing hydraulic systems|maintaining hydraulic systems|repair hydraulic systems|hydraulic systems maintaining
